,Review,Estrela,Data,classe,distancia
33,Péssimo atendimento,1,2019-09-26,0,0.8686578215186403
110,Deixou a desejar. Impossível programação. ,1,2020-10-20,0,0.8686578215186403
190,durou nem 1 mês e já quebrou,1,2020-04-14,0,0.8686578215186403
191,"Só carregou até 80%, devolvi",1,2021-01-14,0,0.8686578215186403
193,Atendimento Amazon é lixo. ,1,2020-12-17,0,0.8686578215186403
206,Nunca funcionou,1,2020-01-22,0,0.8686578215186403
210,Horrivél. ,1,2020-05-12,0,0.8686578215186403
211,Fake,1,2019-11-25,0,0.8686578215186403
276,médio,2,2021-06-17,0,0.8686578215186403
279,Cancelei a compra,2,2020-06-17,0,0.8686578215186403
338,Os cálculos dos exercícios físicos é ruim,3,2019-11-03,0,0.8686578215186403
346,Difícil interação entre o aplicativo e o aparelho,3,2020-03-15,0,0.8686578215186403
380,Regular,3,2020-11-09,0,0.8686578215186403
384,Regular,3,2020-01-24,0,0.8686578215186403
170,Produto péssimo e falso. Decepção. Quero o reembolso. ,1,2020-01-24,0,0.9643547700247223
215,Produto SEM nota fiscal!  Fiquem atentos. ,1,2020-02-24,0,0.9643547700247223
366,"Números e letras muito pequenos, difícil visualização",3,2020-11-15,0,1.0081405362108726
377,Letras muito pequenas,3,2019-12-28,0,1.0081405362108726
272,"Parou de funcionar e já enviei email ao fornecedor duas vezes, sem resposta.",2,2020-10-05,0,1.1455690412288535
201,Abaixo do esperado,1,2020-12-19,0,1.1531109719552521
