,Review,Estrela,Data,classe,distancia
2688,Cumpriu o que prometeu. Comprei com a intenção de monitorar o meu sono e minhas caminhadas e o resultado não podia ter sido melhor. Recomendo para todos aqueles que quiserem algo do tipo. ,5,2020-05-06,1,2.6330490571045373
6708,"Show de Bola , muito útil para quem quer ficar livre de pegar o Celular toda hora que recebe uma Notificação.",5,2020-02-07,1,2.6423715985810783
3462,"Ótimo produto. Resistente e durável. Pena não ter GPS, o que torna a medição de distância um pouco menos precisa, mas são detalhes de alguns metros em km.",5,2020-04-02,1,2.6430873551836473
5365,Contém muito do que há de moderno de forma acessível ✓,5,2020-05-26,1,2.647854121376417
2865,"Quanto a duração da bateria não há do que reclamar, em torno de 2 semanas sem precisar dar carga com quase todas as funcionalidades ativas.",5,2020-01-15,1,2.703933718029138
2341,Produto excelente. Cumpre o que promete e é confortável de usar. Uso o que comprei a mais de 4 meses e ainda não tive nenhum problema. ,5,2019-12-13,1,2.719048503541197
1595,"Ela é perfeita, chegou rapidinho, assim que atualizei já passou para português, fácil de mexer, em uma semana a bateria não caiu nem 15%. A loja Magazine Gaya foi show de bola, podem confiar!",5,2020-01-14,1,2.7250709440041216
1408,"Não tenho arrependimentos quanto esse smartwatch. Meu único problema é que achei a pulseira um pouco frágil no fecho pois, por ser de borracha, está se partindo, o que me fez parar de utilizar o relógio. Fora isto, muito boa, design bonito, prática.",5,2021-02-20,1,2.7303874144446354
1988,"Excelente produto, ótimo estado, e não sabia que dava para personalizar tanto com as novas telas, tipo papel de parede, de vários temas, sensacional.. recomendo",5,2019-11-06,1,2.731310961635336
2312,Comprei de presente para minha irmã e ela adorou. Já está usando a pelo menos 15 dias e não tem do que reclamar. ,5,2021-01-08,1,2.7629843046536133
5373,Não gostei da nova atualização que não dá para baixar interface de aplicativos de terceiros,5,2019-09-07,1,2.780500294812426
1661,"Só não gosto dos chineses pq é culpa deles que apareceu esse Covid19 estou de férias forçadas. Fora isso eu amo a Xiaomi, muito produto de qualidade e barato",5,2020-04-04,1,2.7875211111196068
1694,Original e muito boa. Monitora várias atividades inclusive o sono. Perfeita para avaliar condições físicas de que gosta de esportes e dormir. ,5,2021-01-30,1,2.789330066041099
3299,"Equipamento sensacional, para que ficasse excelente faltou apenas um agressor de pressão arterial, apesar de ter marcação dos batimentos cardíaco.",5,2020-03-23,1,2.790911939788906
3919,"Excelente pena que não mede a pressão, comprei dois um para dar de presente",5,2021-07-20,1,2.7990331690391543
570,"Apesar de ter chegado após o previsto, ate o momento estou gostando muito do produto. Cumpre com o que é prometido.",4,2020-02-03,1,2.803759689486188
1731,"Produto de qualidade correspondente ao anúncio. Ótimo custo/benefício. Para quem gosta de números maiores no display, sugiro que não comprem.",5,2020-11-18,1,2.839290899151906
1866,Maravilhoso amei o meu relógio Ainda mais eu que sou cabeleireiro mexo com água constantemente precisava de um produto de qualidade que não entrasse água estou amando. ,5,2019-12-12,1,2.84705268684723
672,"Produto bom e bem embalado, com durabilidade de bateria boa e uso fácil. Não tenho o que reclarmar.",4,2020-02-12,1,2.8490451572615147
578,"Bom... Para o que se tem hoje de disponível no mercado... Não vale a pena comprar, pela falta de funções!",4,2021-09-18,1,2.8561182394377
