Review,Estrela,Data
"No anúncio informa que a pulseira é a versão global, porém a caixa o manual veio tudo em chinês e mesmo após a atualização continua em chinês. Enganação!",1,2019-07-17
Realizei a compra de 2 DUAS Mi Band 4 pela Porto Store Informática e o produto chegou hoje 24/07/19 e quando abro o pacote para minha decepção está constando apenas UMA PULSEIRA. Enviei um e-mail solicitando uma solução em relação a esse fato mas até o momento não obtive resposta. ,1,2019-07-24
"Comprei 2 mi bands, não tem nem 1 semana. A bateria esta descarregando muito rápido, em menos de 1 dia, o problema veio nas duas!! Por favor me respondam, para resolver",1,2019-07-31
"Anúncio enganoso, a pulseira é na Versão chinesa, não consta essa informação no anúncio, em vez disso, diz que o idioma é em inglês e chinês.",1,2019-09-24
"Produto com defeito. Efetuei a devolução, assumindo o custo postal de retorno.",1,2019-08-26
"A pulseira que veio de brinde, eu nem pode escolher a cor. E a cor que veio desbotou na 2x de uso. Completamente diferente da original, muito decepcionada com o atendimento do vendedor e do produto.",1,2019-08-06
Bateria durava 3 horas. Devolvi e não recebi outro produto como havia sido solicitado . Recebi a ordem de estorno porém não foi estornado,1,2019-10-13
"PRODUTO RECEBIDO SEM O DEVIDO DOCUMENTO FISCAL. APARENTA SER NOVO, PORÉM, FALTA DE DOCUMENTO LEVA A SUSPEITA DE PROBLEMA FISCAL! QUE GARANTIA POSSO TER SEM A NOTA FISCAL/DANFE?",1,2019-09-02
"O relógio é útil, porém me decepcionei com a entrega, demorou muito mais do que deveria demorar, viajei e quase não consegui pegar a pulseira. E quando chegou ainda veio com o carregador com mal contato, detalhe estou fora do brasil volto apenas em novembro e o vendedor quer eu fique com algo que não funcione direito. Deveriam arrumar um jeito de resolver certos tipos de problema, porque no fim das contas vou ter que comprar um carregador e pagar mais do que deveria pagar. Estou totalmente insatisfeita, não recomendaria e nem compraria de novo.",1,2019-09-25
"péssimo produto e péssimo vendedor!!!!!!!!! Comprei a Mi Band 4, VERSÃO GLOBAL, conforme escrito pelo próprio vendedor no anúncio, e o mesmo me enviou a versão CHINESA. UMA MÁ FÉ E UM ABSURDO, JÁ SOLICITEI A DEVOLUÇÃO DOS PRODUTOS E O REEMBOLSO DO MEU DINHEIRO. NÃO COMPREM!!!!!!!!!!!",1,2019-12-04
Relógio não está funcionando. E não veio o carregador. Não comprem neste fornecedor. Comprei para dar de presente e agora terei que devolver. Péssimo produto. ,1,2019-11-09
Simplesmente o produto não foi entregue pelo vendedor. O sistema da loja apontava que o produto estava em trânsito e no dia da entrega fui informado que o produto não havia sido postado. ,1,2019-10-30
Não gostei pois recebi a versão chinesa e não a global!,1,2019-08-16
"Comprei o relógio e as pulseiras coloridas, o anúncio não era claro, pensei que viria a pulseira (relógio) e as pulseiras coloridas extras para trocar. Veio somente o relógio uma pulseira sobressalente e sem me consultarem a cor, mandaram 1 cor que não se quer eu queria. TOMEM CUIDADO, NÃO É UM ANÚNCIO CLARO!!!",1,2019-09-19
meu miband 4 chegou hoje.. depois do transtorno de trocar o meu código de rastreio pedido vim importado sem eu saber . Pois comprei pensando que estava no Brasil . O produto chegou depois do prazo . O relógio não veio a versão global é sim versão chinesa ... Estou extremamente decepcionada pois era uma compra que estava aguardando bastante . ,1,2019-09-17
"Comprei duas pulseiras destas, o anúncio não era claro, pensei que viria a pulseira a pulseira (relógio) e as pulseiras coloridas extras para trocar. Veio para cada relógio uma pulseira sobressalente e sem me consultarem a cor, mandaram duas cores que não se quer eu queria. TOMEM CUIDADO, NÃO É UM ANÚNCIO CLARO!!!",1,2019-08-19
"O produto não atende as expectativas, não conecta com meu celular e não abotoa a pulseira.",1,2019-11-26
O design dele e bonito e confortável mais a bateria não dura muito e no meu venho sem funcionar e do nada resolveu voltar a vida e no meu caso também a tela tá práticamente deshrudo inteira e o sensor de toque dele que você utilizar e bem mais ou menos ou seja estou muito insatisfeito com o produto,1,2019-11-29
Falta de respeito com o consumidor!!! Eles te prometem uma versão global e vem uma versão chinesa!!  Não comprem se vocês quiserem uma versão global!! ,1,2019-09-30
"Quando chegou o produto aparentava estar tudo OK. Comecei a utilizar, com detecção de frequência cardíaca e de sono.  O app avisa que isso drena bateria - só durou 5 dias, achei bem menos que o tempo de 20 dias prometidos mas compreensível.  Mas a cada carga a bateria dura menos tempo!   Aí desliguei todas as funções que consomem a bateria (frequência cardíaca, alarmes, vibração com alertas do celular, disponibilidade bluetooth fiz tela econômica preta... ) e continua piorando!   Um mês depois de receber o banda Smartwatch Xiaomi Mi Band 4 e agora a bateria dura menos de dois dias.  Tentei deixar toda a noite carregando - sem diferença. A HUAMI STORE OFICIAL está vendendo produto defeituoso.  Entrei em contato para reclamar da bateria, pedindo substituição do produto ou conserto, não houve nenhuma resposta.  Não recomendo a compra do produto, nem recomendo a compra nessa loja on-line. PS: o monitoramento de sono é bem fraco, se você ficar acordado e quieto a banda interpreta sono profundo!   Outros produtus trabalham melhor.  A contagem de passos é bem realizada, funciona. Mas sem bateria... produto não tem energia, nada funciona!",1,2020-04-21
"O produto tem problemas quando necessário atualização do celular. Não aparece na tela da pulseira o código bluetooth corretamente. Há muita instabilidade no sistema. Perdi alguns dias de monitoramento do sono, devido a isso. Ele apenas ano estava devidamente páreado. Informações ou SAC com o revendedor não existem(só querem vender mesmo)!  Qualquer e-mail direto é respondido apenas em chinês... péssimo serviço e esclarecimento de dúvidas. O produto é razoável. Bem menos do que esperava!",1,2020-06-21
